Season,name,rank,points,for,against,win,draw,lose
2020,Bayern Munich,1,78,99,44,24,6,4
2020,RB Leipzig,2,65,60,32,19,8,7
2020,Borussia Dortmund,3,64,75,46,20,4,10
2020,VfL Wolfsburg,4,61,61,37,17,10,7
2020,Eintracht Frankfurt,5,60,69,53,16,12,6
2020,Bayer Leverkusen,6,52,53,39,14,10,10
2020,Union Berlin,7,50,50,43,12,14,8
2020,Borussia Monchengladbach,8,49,64,56,13,10,11
2020,VfB Stuttgart,9,45,56,55,12,9,13
2020,SC Freiburg,10,45,52,52,12,9,13
2020,1899 Hoffenheim,11,43,52,54,11,10,13
2020,FSV Mainz 05,12,39,39,56,10,9,15
2020,FC Augsburg,13,36,36,54,10,6,18
2020,Hertha Berlin,14,35,41,52,8,11,15
2020,Arminia Bielefeld,15,35,26,52,9,8,17
2020,FC Koln,16,33,34,60,8,9,17
2020,Werder Bremen,17,31,36,57,7,10,17
2020,FC Schalke 04,18,16,25,86,3,7,24
2013,Bayern Munich,1,90,94,23,29,3,2
2013,Borussia Dortmund,2,71,80,38,22,5,7
2013,FC Schalke 04,3,64,63,43,19,7,8
2013,Bayer Leverkusen,4,61,60,41,19,4,11
2013,VfL Wolfsburg,5,60,63,50,18,6,10
2013,Borussia Monchengladbach,6,55,59,43,16,7,11
2013,FSV Mainz 05,7,53,52,54,16,5,13
2013,FC Augsburg,8,52,47,47,15,7,12
2013,1899 Hoffenheim,9,44,72,70,11,11,12
2013,Hannover 96,10,42,46,59,12,6,16
2013,Hertha Berlin,11,41,40,48,11,8,15
2013,Werder Bremen,12,39,42,66,10,9,15
2013,Eintracht Frankfurt,13,36,40,57,9,9,16
2013,SC Freiburg,14,36,43,61,9,9,16
2013,VfB Stuttgart,15,32,49,62,8,8,18
2013,Hamburger SV,16,27,51,75,7,6,21
2013,FC Nurnberg,17,26,37,70,5,11,18
2013,Eintracht Braunschweig,18,25,29,60,6,7,21
2019,SC Paderborn 07,18,20,37,74,4,8,22
2018,Bayern Munich,1,78,88,32,24,6,4
2018,Borussia Dortmund,2,76,81,44,23,7,4
2018,RB Leipzig,3,66,63,29,19,9,6
2018,Bayer Leverkusen,4,58,69,52,18,4,12
2018,Borussia Monchengladbach,5,55,55,42,16,7,11
2018,VfL Wolfsburg,6,55,62,50,16,7,11
2018,Eintracht Frankfurt,7,54,60,48,15,9,10
2018,Werder Bremen,8,53,58,49,14,11,9
2018,1899 Hoffenheim,9,51,70,52,13,12,9
2018,Fortuna Dusseldorf,10,44,49,65,13,5,16
2018,Hertha Berlin,11,43,49,57,11,10,13
2018,FSV Mainz 05,12,43,46,57,12,7,15
2018,SC Freiburg,13,36,46,61,8,12,14
2018,FC Schalke 04,14,33,37,55,8,9,17
2018,FC Augsburg,15,32,51,71,8,8,18
2018,VfB Stuttgart,16,28,32,70,7,7,20
2018,Hannover 96,17,21,31,71,5,6,23
2018,FC Nurnberg,18,19,26,68,3,10,21
2014,Bayern Munich,1,79,80,18,25,4,5
2014,VfL Wolfsburg,2,69,72,38,20,9,5
2014,Borussia Monchengladbach,3,66,53,26,19,9,6
2014,Bayer Leverkusen,4,61,62,37,17,10,7
2014,FC Augsburg,5,49,43,43,15,4,15
2014,FC Schalke 04,6,48,42,40,13,9,12
2014,Borussia Dortmund,7,46,47,42,13,7,14
2014,1899 Hoffenheim,8,44,49,55,12,8,14
2014,Eintracht Frankfurt,9,43,56,62,11,10,13
