Season,name,rank,points,for,against,win,draw,lose
2013,Atletico Madrid,1,90,77,26,28,6,4
2013,Barcelona,2,87,100,33,27,6,5
2013,Real Madrid,3,87,104,38,27,6,5
2013,Athletic Club,4,70,66,39,20,10,8
2013,Sevilla,5,63,69,52,18,9,11
2013,Villarreal,6,59,60,44,17,8,13
2013,Real Sociedad,7,59,62,55,16,11,11
2013,Valencia,8,49,51,53,13,10,15
2013,Celta Vigo,9,49,49,54,14,7,17
2013,Levante,10,48,35,43,12,12,14
2013,Malaga,11,45,39,46,12,9,17
2013,Rayo Vallecano,12,43,46,80,13,4,21
2013,Getafe,13,42,35,54,11,9,18
2013,Espanyol,14,42,41,51,11,9,18
2013,Granada CF,15,41,32,56,12,5,21
2013,Elche,16,40,30,50,9,13,16
2013,Almeria,17,40,43,71,11,7,20
2013,Osasuna,18,39,32,62,10,9,19
2013,Valladolid,19,36,38,60,7,15,16
2013,Real Betis,20,25,36,78,6,7,25
2023,Real Madrid,1,95,87,26,29,8,1
2023,Barcelona,2,85,79,44,26,7,5
2023,Girona,3,81,85,46,25,6,7
2023,Atletico Madrid,4,76,70,43,24,4,10
2023,Athletic Club,5,68,61,37,19,11,8
2023,Real Sociedad,6,60,51,39,16,12,10
2023,Real Betis,7,57,48,45,14,15,9
2023,Villarreal,8,53,65,65,14,11,13
2023,Valencia,9,49,40,45,13,10,15
2023,Alaves,10,46,36,46,12,10,16
2023,Osasuna,11,45,45,56,12,9,17
2023,Getafe,12,43,42,54,10,13,15
2023,Celta Vigo,13,41,46,57,10,11,17
2023,Sevilla,14,41,48,54,10,11,17
2023,Mallorca,15,40,33,44,8,16,14
2023,Las Palmas,16,40,33,47,10,10,18
2023,Rayo Vallecano,17,38,29,48,8,14,16
2023,Cadiz,18,33,26,55,6,15,17
2023,Almeria,19,21,43,75,3,12,23
2023,Granada CF,20,21,38,79,4,9,25
2022,Barcelona,1,88,70,20,28,4,6
2022,Real Madrid,2,78,75,36,24,6,8
2022,Atletico Madrid,3,77,70,33,23,8,7
2022,Real Sociedad,4,71,51,35,21,8,9
2022,Villarreal,5,64,59,40,19,7,12
2022,Real Betis,6,60,46,41,17,9,12
2022,Osasuna,7,53,37,42,15,8,15
2022,Athletic Club,8,51,47,43,14,9,15
2022,Mallorca,9,50,37,43,14,8,16
2022,Girona,10,49,58,55,13,10,15
2022,Rayo Vallecano,11,49,45,53,13,10,15
2022,Sevilla,12,49,47,54,13,10,15
2022,Celta Vigo,13,43,43,53,11,10,17
2022,Cadiz,14,42,30,53,10,12,16
2022,Getafe,15,42,34,45,10,12,16
