Season,name,rank,points,for,against,win,draw,lose
2019,Paris Saint Germain,1,68,75,24,22,2,3
2019,Marseille,2,56,41,29,16,8,4
2019,Rennes,3,50,38,24,15,5,8
2019,Lille,4,49,35,27,15,4,9
2019,Reims,5,41,26,21,10,11,7
2019,Nice,6,41,41,38,11,8,9
2019,Lyon,7,40,42,27,11,7,10
2019,Montpellier,8,40,35,34,11,7,10
2019,Monaco,9,40,44,44,11,7,10
2019,Angers,10,39,28,33,11,6,11
2019,Strasbourg,11,38,32,32,11,5,11
2019,Bordeaux,12,37,40,34,9,10,9
2019,Nantes,13,37,28,31,11,4,13
2019,Stade Brestois 29,14,34,34,37,8,10,10
2019,Metz,15,34,27,35,8,10,10
2019,Dijon,16,30,27,37,7,9,12
2019,Saint Etienne,17,30,29,45,8,6,14
2019,Nimes,18,27,29,44,7,6,15
2019,Amiens,19,23,31,50,4,11,13
2019,Toulouse,20,13,22,58,3,4,21
2011,Montpellier,1,82,68,34,25,7,6
2011,Paris Saint Germain,2,79,75,41,23,10,5
2011,Lille,3,74,72,39,21,11,6
2011,Lyon,4,64,64,51,19,7,12
2011,Bordeaux,5,61,53,41,16,13,9
2011,Rennes,6,60,53,44,17,9,12
2011,Saint Etienne,7,57,49,45,16,9,13
2011,Toulouse,8,56,37,34,15,11,12
2011,Evian TG,9,50,54,55,13,11,14
2011,Marseille,10,48,45,41,12,12,14
2011,Nancy,11,45,38,48,11,12,15
2011,Valenciennes,12,43,40,50,12,7,19
2011,Nice,13,42,39,46,10,12,16
2011,Sochaux,14,42,40,60,11,9,18
2011,Stade Brestois 29,15,41,31,38,8,17,13
2011,Ajaccio,16,41,40,61,9,14,15
2011,Lorient,17,39,35,49,9,12,17
2011,Caen,18,38,39,59,9,11,18
2011,Dijon,19,36,38,63,9,9,20
2011,Auxerre,20,34,46,57,7,13,18
2014,Paris Saint Germain,1,83,83,36,24,11,3
2014,Lyon,2,75,72,33,22,9,7
2014,Monaco,3,71,51,26,20,11,7
2014,Marseille,4,69,76,42,21,6,11
2014,Saint Etienne,5,69,51,30,19,12,7
2014,Bordeaux,6,63,47,44,17,12,9
2014,Montpellier,7,56,46,39,16,8,14
2014,Lille,8,56,43,42,16,8,14
2014,Rennes,9,50,35,42,13,11,14
2014,Guingamp,10,49,41,55,15,4,19
2014,Nice,11,48,44,53,13,9,16
2014,Bastia,12,47,37,46,12,11,15
2014,Caen,13,46,54,55,12,10,16
2014,Nantes,14,45,29,40,11,12,15
