Season,name,rank,points,for,against,win,draw,lose
2022,Manchester City,1,89,94,33,28,5,5
2022,Arsenal,2,84,88,43,26,6,6
2022,Manchester United,3,75,58,43,23,6,9
2022,Newcastle,4,71,68,33,19,14,5
2022,Liverpool,5,67,75,47,19,10,9
2022,Brighton,6,62,72,53,18,8,12
2022,Aston Villa,7,61,51,46,18,7,13
2022,Tottenham,8,60,70,63,18,6,14
2022,Brentford,9,59,58,46,15,14,9
2022,Fulham,10,52,55,53,15,7,16
2022,Crystal Palace,11,45,40,49,11,12,15
2022,Chelsea,12,44,38,47,11,11,16
2022,Wolves,13,41,31,58,11,8,19
2022,West Ham,14,40,42,55,11,7,20
2022,Bournemouth,15,39,37,71,11,6,21
2022,Nottingham Forest,16,38,38,68,9,11,18
2022,Everton,17,36,34,57,8,12,18
2022,Leicester,18,34,51,68,9,7,22
2022,Leeds,19,31,48,78,7,10,21
2022,Southampton,20,25,36,73,6,7,25
2020,Manchester City,1,86,83,32,27,5,6
2020,Manchester United,2,74,73,44,21,11,6
2020,Liverpool,3,69,68,42,20,9,9
2020,Chelsea,4,67,58,36,19,10,9
2020,Leicester,5,66,68,50,20,6,12
2020,West Ham,6,65,62,47,19,8,11
2020,Tottenham,7,62,68,45,18,8,12
2020,Arsenal,8,61,55,39,18,7,13
2020,Leeds,9,59,62,54,18,5,15
2020,Everton,10,59,47,48,17,8,13
2020,Aston Villa,11,55,55,46,16,7,15
2020,Newcastle,12,45,46,62,12,9,17
2020,Wolves,13,45,36,52,12,9,17
2020,Crystal Palace,14,44,41,66,12,8,18
2020,Southampton,15,43,47,68,12,7,19
2020,Brighton,16,41,40,46,9,14,15
2020,Burnley,17,39,33,55,10,9,19
2020,Fulham,18,28,27,53,5,13,20
2020,West Brom,19,26,35,76,5,11,22
2020,Sheffield Utd,20,23,20,63,7,2,29
2013,Manchester City,1,86,102,37,27,5,6
2013,Liverpool,2,84,101,50,26,6,6
2013,Chelsea,3,82,71,27,25,7,6
2013,Arsenal,4,79,68,41,24,7,7
2013,Everton,5,72,61,39,21,9,8
2013,Tottenham,6,69,55,51,21,6,11
2013,Manchester United,7,64,64,43,19,7,12
2013,Southampton,8,56,54,46,15,11,12
2013,Stoke City,9,50,45,52,13,11,14
2013,Newcastle,10,49,43,59,15,4,19
2013,Crystal Palace,11,45,33,48,13,6,19
2014,Chelsea,1,87,73,32,26,9,3
2014,Manchester City,2,79,83,38,24,7,7
2014,Arsenal,3,75,71,36,22,9,7
2014,Manchester United,4,70,62,37,20,10,8
2014,Tottenham,5,64,58,53,19,7,12
2014,Liverpool,6,62,52,48,18,8,12
2014,Southampton,7,60,54,33,18,6,14
2014,Swansea,8,56,46,49,16,8,14
2014,Stoke City,9,54,48,45,15,9,14
2014,Crystal Palace,10,48,47,51,13,9,16
2014,Everton,11,47,48,50,12,11,15
2014,West Ham,12,47,44,47,12,11,15
2014,West Brom,13,44,38,51,11,11,16
2014,Leicester,14,41,46,55,11,8,19
2014,Newcastle,15,39,40,63,10,9,19
2014,Sunderland,16,38,31,53,7,17,14
2014,Aston Villa,17,38,31,57,10,8,20
2014,Hull City,18,35,33,51,8,11,19
2014,Burnley,19,33,28,53,7,12,19
2014,QPR,20,30,42,73,8,6,24
